"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Okul Mevisto","375389182",3866500,2350000,-1516500,-39.2
"Kxbi39","963545236",3608500,2080000,-1528500,-42.4
"BΛ 18th Qu1nO","311184143",3574000,0,-3574000,-100
"bL4De","457291367",2314000,2320000,6000,0.3
"Tobiwan","215178647",2298500,555000,-1743500,-75.9
"Nudo der Rächer","553153872",2290500,1520000,-770500,-33.6
"DD44ddyy","569924112",2272500,1300000,-972500,-42.8
"Zak McKracken","583975841",2194500,1800000,-394500,-18
"Stefan80","853644323",1999000,800000,-1199000,-60
"Kyle Katarn","857467862",1991500,1020000,-971500,-48.8
"BΛ 18th Domme53","293754352",1870000,1540000,-330000,-17.6
"Micha","441471428",1800500,1200000,-600500,-33.4
"Rene","652417452",1758500,665000,-1093500,-62.2
"Halodri","423968927",1683000,870000,-813000,-48.3
"BΛ 18th Failix93","531337631",1663000,2700000,1037000,62.4
"YPSOLON","912458532",1530500,1160000,-370500,-24.2
"Sasa","496742742",1457000,895000,-562000,-38.6
"Radhad","726188947",1311500,1800000,488500,37.2
"Gabel","973795682",1294500,688000,-606500,-46.9
"Evilfraggle","527696828",1279500,600000,-679500,-53.1
"Pelzdavi","412292457",1258000,750000,-508000,-40.4
"Bad Batch","681176546",1247500,598000,-649500,-52.1
"Rendo","529589453",1149500,634000,-515500,-44.8
"Ethan Calypso","834324965",1142000,1220000,78000,6.8
"Pekaju81","657872812",1120500,300000,-820500,-73.2
"BΛ 18th  Kalyssia","321723488",1074500,0,-1074500,-100
"Amgcobra","529132897",1074000,602000,-472000,-43.9
"Maxima","272612712",1039000,412000,-627000,-60.3
"Aaron","894684436",1005000,465000,-540000,-53.7
"olliw30","785375887",992500,1010000,17500,1.8
"Cyria","562612771",987500,941000,-46500,-4.7
"Eselinho","673687898",942500,0,-942500,-100
"n0am","736436766",883500,1200000,316500,35.8
"Giga","731918197",836500,988000,151500,18.1
"Meister DuKa","737898978",770500,0,-770500,-100
"Korgas","765528436",724500,750000,25500,3.5
"BΛ Anexiety","486818281",720000,510000,-210000,-29.2
"Cyno Lanri","856891947",682500,330000,-352500,-51.6
"Nikotin2803","225819189",584000,815000,231000,39.6
"Wyrdn","928416533",547000,600000,53000,9.7
"Battlemurmel","215789357",412000,0,-412000,-100
"hartholzheftig","829453731",388500,600000,211500,54.4
"Xyvee","666924181",359000,0,-359000,-100
"Acaizuku","449847638",335000,395000,60000,17.9
"Murc de Burgh","779865135",269000,300000,31000,11.5
"Lavesuma","444867952",149500,160000,10500,7
"Meister Kek","816352927",142000,0,-142000,-100
"Mugami Chinzano","663193878",71500,0,-71500,-100
"Falen Lacer","996731294",70500,0,-70500,-100
