"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"FraHu","645657654",2263000,3900000,1637000,72.3
"reniarku","216769754",2350000,3900000,1550000,66
"Mad Mike","537881411",4713500,6735000,2021500,42.9
"Maddin Papa der Nacht","397984459",2174500,2750000,575500,26.5
"CeeK4y","434842414",4921000,5612500,691500,14.1
"Sahu","596923326",5220000,5850000,630000,12.1
"MINI Raph","483833154",3545500,3900000,354500,10
"Tobi WanKenobi","964836267",3085000,3300000,215000,7
"Duckado","992822478",14700000,14700000,0,0
"VDL Doni030","918226438",4773500,4700000,-73500,-1.5
"Hippikilla","426986133",4858000,4780000,-78000,-1.6
"Vaexqua","447681823",3126000,3075000,-51000,-1.6
"OnkelBoe","897638799",5150000,5062500,-87500,-1.7
"ARC5555","928882641",9553000,9225000,-328000,-3.4
"Spacekenny","758475213",5018500,4820000,-198500,-4
"Gonzo","839923255",4944000,4650000,-294000,-5.9
"Fossi PøtG","922391954",4918000,4540000,-378000,-7.7
"Berto","719754858",5957000,5400000,-557000,-9.4
"McBluti","289447573",14643000,12600000,-2043000,-14
"DribbelD","442864126",2250500,1930000,-320500,-14.2
"deathshot","653622119",3872000,3300000,-572000,-14.8
"Valcorp","359628635",5190000,4350000,-840000,-16.2
"Scargo","671154332",6151500,5100000,-1051500,-17.1
"Skettman","923923221",6998000,5780000,-1218000,-17.4
"Ordo Skirata","695593321",4326500,3540000,-786500,-18.2
"Xelogon","998926812",13028000,10020000,-3008000,-23.1
"Nema Ghyron","882283397",1159500,875000,-284500,-24.5
"TuMirNix","356282657",2248000,1675000,-573000,-25.5
"Darman RC22","195783379",15031500,11100000,-3931500,-26.2
"BillyCoenCS","782748956",3148000,2295000,-853000,-27.1
"Breuchen","517819446",13528000,9675000,-3853000,-28.5
"Optimus Prime","424139695",3884500,2720000,-1164500,-30
"gazzo","553723455",3115500,2145000,-970500,-31.2
"Kaytee Glopio","435978285",2162500,1482500,-680000,-31.4
"FirstClaas","881775995",2269000,1555000,-714000,-31.5
"WΞP Timomagbier","636222417",4718500,3230000,-1488500,-31.5
"bizonkata","242337786",3880500,2655000,-1225500,-31.6
"Imperator Luna ツ","917814484",6294500,4205000,-2089500,-33.2
"W0Ʀ ObiWanX88X","595758484",3241000,2100000,-1141000,-35.2
"Gremlin","447344923",2383500,1530000,-853500,-35.8
"Paddle","768392149",9197500,5632500,-3565000,-38.8
"Racer","961793165",4377500,2615000,-1762500,-40.3
"thenawi","218714477",2368000,1367500,-1000500,-42.3
"Kopfgeldjäger Orlando","855444999",4412000,2462500,-1949500,-44.2
"Oberon Calad","828255534",4554000,2530000,-2024000,-44.4
"Tylr","528339514",13726000,6442500,-7283500,-53.1
"AZRΛEL","325454915",5070000,2115000,-2955000,-58.3
"BΛ ElTimme","869365185",2144000,592500,-1551500,-72.4
"DonGavon VonMothma","283839472",3762000,1032500,-2729500,-72.6
"windalf","986173352",4601000,341250,-4259750,-92.6
