"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Darman RC22","195783379",15095000,11400000,-3695000,-24.5
"McBluti","289447573",14700000,14700000,0,0
"Duckado","992822478",14700000,14700000,0,0
"Tylr","528339514",13800000,11880000,-1920000,-13.9
"Breuchen","517819446",13680000,13200000,-480000,-3.5
"Xelogon","998926812",13112500,9780000,-3332500,-25.4
"Paddle","768392149",10741500,10597500,-144000,-1.3
"windalf","986173352",10626500,3600000,-7026500,-66.1
"Sahu","596923326",9756500,9300000,-456500,-4.7
"ARC5555","928882641",9604500,9675000,70500,0.7
"Mad Mike","537881411",9552000,9750000,198000,2.1
"Imperator Luna ツ","917814484",8245000,6300000,-1945000,-23.6
"WΞP Timomagbier","636222417",7582000,5625000,-1957000,-25.8
"Berto","719754858",7398500,6437500,-961000,-13
"Tobi WanKenobi","964836267",7289000,6300000,-989000,-13.6
"Racer","961793165",7202500,5400000,-1802500,-25
"Spacekenny","758475213",7117500,7140000,22500,0.3
"AZRΛEL","325454915",7098000,5365000,-1733000,-24.4
"Skettman","923923221",7083000,6440000,-643000,-9.1
"Kopfgeldjäger Orlando","855444999",6813500,4675000,-2138500,-31.4
"Scargo","671154332",6741500,4650000,-2091500,-31
"OnkelBoe","897638799",6375000,6450000,75000,1.2
"Valcorp","359628635",6280500,5287500,-993000,-15.8
"Hippikilla","426986133",6057000,5775000,-282000,-4.7
"Oberon Calad","828255534",5898500,3450000,-2448500,-41.5
"reniarku","216769754",5786000,8332500,2546500,44
"Optimus Prime","424139695",5616000,5100000,-516000,-9.2
"Fossi PøtG","922391954",5567000,5295000,-272000,-4.9
"LePiKnight","739753451",5536000,,,
"Ordo Skirata","695593321",5488500,4440000,-1048500,-19.1
"CeeK4y","434842414",5449500,6532500,1083000,19.9
"W0Ʀ ObiWanX88X","595758484",5359000,2850000,-2509000,-46.8
"Gonzo","839923255",5327000,4510000,-817000,-15.3
"MINI Raph","483833154",4952000,4950000,-2000,0
"VDL Doni030","918226438",4927000,4950000,23000,0.5
"thenawi","218714477",4522500,1670000,-2852500,-63.1
"DonGavon VonMothma","283839472",4401000,1430000,-2971000,-67.5
"FraHu","645657654",4372000,4200000,-172000,-3.9
"Gremlin","447344923",4064000,3900000,-164000,-4
"bizonkata","242337786",4063500,2330000,-1733500,-42.7
"Kaytee Glopio","435978285",3925500,2200000,-1725500,-44
"BillyCoenCS","782748956",3863500,3517500,-346000,-9
"deathshot","653622119",3849000,3300000,-549000,-14.3
"gazzo","553723455",3831500,3600000,-231500,-6
"Vaexqua","447681823",3479500,3627500,148000,4.3
"DribbelD","442864126",2545500,2550000,4500,0.2
"TuMirNix","356282657",2476000,2162500,-313500,-12.7
"BΛ ElTimme","869365185",2462500,1800000,-662500,-26.9
"FirstClaas","881775995",2443000,1690000,-753000,-30.8
"Nema Ghyron","882283397",1314000,1140000,-174000,-13.2
