"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"McBluti","289447573",12945000,14700000,1755000,13.6
"Duckado","992822478",13190500,14700000,1509500,11.4
"Breuchen","517819446",11711000,13200000,1489000,12.7
"Tylr","528339514",12003500,11880000,-123500,-1
"Darman RC22","195783379",12984500,11400000,-1584500,-12.2
"Paddle","768392149",8926500,10597500,1671000,18.7
"Xelogon","998926812",11232500,9780000,-1452500,-12.9
"Mad Mike","537881411",8747000,9750000,1003000,11.5
"ARC5555","928882641",9376000,9675000,299000,3.2
"Sahu","596923326",7916500,9300000,1383500,17.5
"reniarku","216769754",5291000,8332500,3041500,57.5
"Spacekenny","758475213",6446500,7140000,693500,10.8
"CeeK4y","434842414",5091000,6532500,1441500,28.3
"OnkelBoe","897638799",5584500,6450000,865500,15.5
"Skettman","923923221",6882500,6440000,-442500,-6.4
"Berto","719754858",6271000,6437500,166500,2.7
"Imperator Luna ツ","917814484",7766500,6300000,-1466500,-18.9
"Tobi WanKenobi","964836267",6469000,6300000,-169000,-2.6
"Hippikilla","426986133",5516500,5775000,258500,4.7
"WΞP Timomagbier","636222417",7083500,5625000,-1458500,-20.6
"Racer","961793165",6688000,5400000,-1288000,-19.3
"AZRΛEL","325454915",6401000,5365000,-1036000,-16.2
"Fossi PøtG","922391954",5518000,5295000,-223000,-4
"Valcorp","359628635",5518000,5287500,-230500,-4.2
"Optimus Prime","424139695",5372500,5100000,-272500,-5.1
"MINI Raph","483833154",4488000,4950000,462000,10.3
"VDL Doni030","918226438",4841500,4950000,108500,2.2
"Kopfgeldjäger Orlando","855444999",6464000,4675000,-1789000,-27.7
"Scargo","671154332",6189000,4650000,-1539000,-24.9
"Gonzo","839923255",4926500,4510000,-416500,-8.5
"Ordo Skirata","695593321",4623500,4440000,-183500,-4
"FraHu","645657654",3413000,4200000,787000,23.1
"Gremlin","447344923",3836000,3900000,64000,1.7
"Vaexqua","447681823",3089000,3627500,538500,17.4
"gazzo","553723455",3564500,3600000,35500,1
"windalf","986173352",8762500,3600000,-5162500,-58.9
"BillyCoenCS","782748956",3799000,3517500,-281500,-7.4
"Oberon Calad","828255534",5347500,3450000,-1897500,-35.5
"deathshot","653622119",3762000,3300000,-462000,-12.3
"W0Ʀ ObiWanX88X","595758484",5050000,2850000,-2200000,-43.6
"DribbelD","442864126",2387500,2550000,162500,6.8
"bizonkata","242337786",3852000,2330000,-1522000,-39.5
"Kaytee Glopio","435978285",3798000,2200000,-1598000,-42.1
"TuMirNix","356282657",2360500,2162500,-198000,-8.4
"BΛ ElTimme","869365185",2315500,1800000,-515500,-22.3
"FirstClaas","881775995",2292000,1690000,-602000,-26.3
"thenawi","218714477",4071000,1670000,-2401000,-59
"DonGavon VonMothma","283839472",4222000,1430000,-2792000,-66.1
"Nema Ghyron","882283397",1210500,1140000,-70500,-5.8
"LePiKnight","739753451",5387500,,,
