"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Okul Mevisto","375389182",3975000,2347500,-1627500,-40.9
"Kxbi39","963545236",3949500,2077500,-1872000,-47.4
"BΛ 18th Qu1nO","311184143",3603500,0,-3603500,-100
"Zak McKracken","583975841",3318000,1800000,-1518000,-45.8
"BΛ 18th Failix93","531337631",2992000,2700000,-292000,-9.8
"bL4De","457291367",2466500,2325000,-141500,-5.7
"Tobiwan","215178647",2295500,555000,-1740500,-75.8
"DD44ddyy","569924112",2292000,1296250,-995750,-43.4
"Nudo der Rächer","553153872",2291000,1522500,-768500,-33.5
"Halodri","423968927",2231500,870000,-1361500,-61
"BΛ 18th Domme53","293754352",2206500,1540000,-666500,-30.2
"Micha","441471428",2124000,1200000,-924000,-43.5
"Stefan80","853644323",1990000,800000,-1190000,-59.8
"Kyle Katarn","857467862",1989000,1020000,-969000,-48.7
"n0am","736436766",1911000,1195000,-716000,-37.5
"YPSOLON","912458532",1805500,1157500,-648000,-35.9
"Rene","652417452",1739000,665000,-1074000,-61.8
"Sasa","496742742",1605500,895000,-710500,-44.3
"Rendo","529589453",1591000,633750,-957250,-60.2
"Evilfraggle","527696828",1589000,600000,-989000,-62.2
"Radhad","726188947",1495000,1800000,305000,20.4
"Maxima","272612712",1427000,412500,-1014500,-71.1
"Bad Batch","681176546",1353500,597500,-756000,-55.9
"olliw30","785375887",1277500,1010000,-267500,-20.9
"Ethan Calypso","834324965",1262000,1222500,-39500,-3.1
"Gabel","973795682",1230500,687500,-543000,-44.1
"Pelzdavi","412292457",1214500,750000,-464500,-38.2
"Amgcobra","529132897",1183500,602500,-581000,-49.1
"Aaron","894684436",1145500,465000,-680500,-59.4
"Eselinho","673687898",1129000,0,-1129000,-100
"BΛ 18th  Kalyssia","321723488",1103500,0,-1103500,-100
"Pekaju81","657872812",1100500,300000,-800500,-72.7
"Giga","731918197",1051000,987500,-63500,-6
"Korgas","765528436",1038500,750000,-288500,-27.8
"Nikotin2803","225819189",962500,815000,-147500,-15.3
"Cyno Lanri","856891947",954500,330000,-624500,-65.4
"Cyria","562612771",954000,941250,-12750,-1.3
"Meister DuKa","737898978",913500,0,-913500,-100
"Battlemurmel","215789357",911000,0,-911000,-100
"hartholzheftig","829453731",810500,600000,-210500,-26
"Xyvee","666924181",785000,0,-785000,-100
"Wyrdn","928416533",745000,600000,-145000,-19.5
"BΛ Anexiety","486818281",722000,510000,-212000,-29.4
"Acaizuku","449847638",557500,395000,-162500,-29.1
"Murc de Burgh","779865135",491500,300000,-191500,-39
"Lavesuma","444867952",316000,160000,-156000,-49.4
"Mugami Chinzano","663193878",309000,0,-309000,-100
"Meister Kek","816352927",307000,0,-307000,-100
"Falen Lacer","996731294",305000,0,-305000,-100
