"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Duckado","992822478",14700000,13800000,-900000,-6.1
"Xelogon","998926812",13042500,12000000,-1042500,-8
"Darman RC22","195783379",14964500,10320000,-4644500,-31
"Breuchen","517819446",13531000,9900000,-3631000,-26.8
"ARC5555","928882641",9553000,9600000,47000,0.5
"McBluti","289447573",11564000,9000000,-2564000,-22.2
"Tylr","528339514",10800000,6665000,-4135000,-38.3
"Scargo","671154332",6097500,5850000,-247500,-4.1
"CeeK4y","434842414",4907500,5812500,905000,18.4
"Mad Mike","537881411",4171000,5805000,1634000,39.2
"Sahu","596923326",4950500,5700000,749500,15.1
"Berto","719754858",5952500,5700000,-252500,-4.2
"Spacekenny","758475213",5003500,4927500,-76000,-1.5
"Hippikilla","426986133",4853000,4852500,-500,0
"OnkelBoe","897638799",5137000,4732500,-404500,-7.9
"Fossi PøtG","922391954",4899000,4520000,-379000,-7.7
"Skettman","923923221",6983000,4240000,-2743000,-39.3
"Valcorp","359628635",5074000,3945000,-1129000,-22.3
"FraHu","645657654",2219000,3900000,1681000,75.8
"MINI Raph","483833154",3487500,3900000,412500,11.8
"Gonzo","839923255",4622000,3900000,-722000,-15.6
"reniarku","216769754",2293500,3900000,1606500,70
"VDL Doni030","918226438",4825500,3900000,-925500,-19.2
"Kopfgeldjäger Orlando","855444999",4196000,3815000,-381000,-9.1
"deathshot","653622119",3811500,3600000,-211500,-5.5
"Paddle","768392149",8986000,3450000,-5536000,-61.6
"Maddin Papa der Nacht","397984459",2118500,3450000,1331500,62.9
"WΞP Timomagbier","636222417",4292500,3420000,-872500,-20.3
"Ordo Skirata","695593321",4316500,3210000,-1106500,-25.6
"Racer","961793165",2973500,2790000,-183500,-6.2
"AZRΛEL","325454915",3826500,2700000,-1126500,-29.4
"Vaexqua","447681823",3049500,2685000,-364500,-12
"Optimus Prime","424139695",3828500,2615000,-1213500,-31.7
"Imperator Luna ツ","917814484",5393500,2520000,-2873500,-53.3
"bizonkata","242337786",2920000,2470000,-450000,-15.4
"gazzo","553723455",2038000,2100000,62000,3
"DribbelD","442864126",1845000,1975000,130000,7
"Oberon Calad","828255534",4400000,1970000,-2430000,-55.2
"BillyCoenCS","782748956",2915500,1955000,-960500,-32.9
"W0Ʀ ObiWanX88X","595758484",3187500,1950000,-1237500,-38.8
"windalf","986173352",3786000,1775000,-2011000,-53.1
"Tobi WanKenobi","964836267",2951000,1775000,-1176000,-39.9
"thenawi","218714477",2308000,1512500,-795500,-34.5
"FirstClaas","881775995",2214000,1510000,-704000,-31.8
"TuMirNix","356282657",2158500,1455000,-703500,-32.6
"Kaytee Glopio","435978285",1671000,1175000,-496000,-29.7
"DonGavon VonMothma","283839472",2833000,1117500,-1715500,-60.6
"BΛ ElTimme","869365185",2138000,1045000,-1093000,-51.1
"Gremlin","447344923",2322500,977500,-1345000,-57.9
"Nema Ghyron","882283397",1179000,600000,-579000,-49.1
