"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Kxbi39","963545236",4779000,3105000,-1674000,-35
"Okul Mevisto","375389182",4614500,1195000,-3419500,-74.1
"BΛ 18th Qu1nO","311184143",4523500,2725000,-1798500,-39.8
"Zak McKracken","583975841",3844500,2700000,-1144500,-29.8
"Nudo der Rächer","553153872",3503000,2400000,-1103000,-31.5
"BΛ 18th Failix93","531337631",3010000,3900000,890000,29.6
"bL4De","457291367",2910000,2340000,-570000,-19.6
"Rene","652417452",2758500,1210000,-1548500,-56.1
"Kyle Katarn","857467862",2732000,611250,-2120750,-77.6
"Tobiwan","215178647",2466500,1340000,-1126500,-45.7
"DD44ddyy","569924112",2341000,1800000,-541000,-23.1
"Halodri","423968927",2279000,1470000,-809000,-35.5
"BΛ 18th Domme53","293754352",2205000,1800000,-405000,-18.4
"Micha","441471428",2173000,2250000,77000,3.5
"Stefan80","853644323",2119500,797500,-1322000,-62.4
"Maxima","272612712",2107000,870000,-1237000,-58.7
"n0am","736436766",1962000,1085000,-877000,-44.7
"YPSOLON","912458532",1898000,1047500,-850500,-44.8
"Ethan Calypso","834324965",1888500,1425000,-463500,-24.5
"Bullet","877667496",1833500,,,
"Sasa","496742742",1655000,300000,-1355000,-81.9
"Evilfraggle","527696828",1637500,615000,-1022500,-62.4
"Rendo","529589453",1602000,1200000,-402000,-25.1
"Radhad","726188947",1558500,1800000,241500,15.5
"Korgas","765528436",1350500,990000,-360500,-26.7
"olliw30","785375887",1334000,1050000,-284000,-21.3
"Aaron","894684436",1268500,545000,-723500,-57
"Pelzdavi","412292457",1261500,750000,-511500,-40.5
"Gabel","973795682",1239500,0,-1239500,-100
"Amgcobra","529132897",1237000,505000,-732000,-59.2
"Eselinho","673687898",1128500,295000,-833500,-73.9
"Xyvee","666924181",1127500,560000,-567500,-50.3
"BΛ 18th  Kalyssia","321723488",1103000,0,-1103000,-100
"Pekaju81","657872812",1100000,262500,-837500,-76.1
"Giga","731918197",1099000,1040000,-59000,-5.4
"hartholzheftig","829453731",1062000,0,-1062000,-100
"Cyria","562612771",1050500,1012500,-38000,-3.6
"Cyno Lanri","856891947",1001500,325000,-676500,-67.5
"Nikotin2803","225819189",964000,802500,-161500,-16.8
"YanHolo","791277669",943000,337500,-605500,-64.2
"Meister DuKa","737898978",915500,45000,-870500,-95.1
"Battlemurmel","215789357",911500,42500,-869000,-95.3
"BΛ Anexiety","486818281",770500,820000,49500,6.4
"Wyrdn","928416533",745000,600000,-145000,-19.5
"Acaizuku","449847638",650000,530000,-120000,-18.5
"Meister Kek","816352927",618000,135000,-483000,-78.2
"Murc de Burgh","779865135",492000,300000,-192000,-39
"Falen Lacer","996731294",374500,0,-374500,-100
"Lavesuma","444867952",317500,117500,-200000,-63
"Mugami Chinzano","663193878",309000,0,-309000,-100
