"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Darman RC22","195783379",15007500,11100000,-3907500,-26
"Duckado","992822478",14700000,14700000,0,0
"McBluti","289447573",14667000,14700000,33000,0.2
"Tylr","528339514",13750500,11190000,-2560500,-18.6
"Breuchen","517819446",13538500,11805000,-1733500,-12.8
"Xelogon","998926812",13030500,10680000,-2350500,-18
"Paddle","768392149",10689000,10500000,-189000,-1.8
"ARC5555","928882641",9577000,9300000,-277000,-2.9
"Skettman","923923221",6981000,6120000,-861000,-12.3
"Berto","719754858",6503000,6000000,-503000,-7.7
"Scargo","671154332",6470000,5100000,-1370000,-21.2
"Sahu","596923326",6465500,6000000,-465500,-7.2
"OnkelBoe","897638799",6327000,5190000,-1137000,-18
"Imperator Luna ツ","917814484",6293500,5700000,-593500,-9.4
"Spacekenny","758475213",6107000,5290000,-817000,-13.4
"Oberon Calad","828255534",5855500,2470000,-3385500,-57.8
"Optimus Prime","424139695",5487000,3225000,-2262000,-41.2
"Valcorp","359628635",5403500,4485000,-918500,-17
"Mad Mike","537881411",5369500,7440000,2070500,38.6
"Hippikilla","426986133",5289000,5060000,-229000,-4.3
"Gonzo","839923255",5289000,4650000,-639000,-12.1
"Racer","961793165",5289000,3550000,-1739000,-32.9
"Tobi WanKenobi","964836267",5118500,3150000,-1968500,-38.5
"AZRΛEL","325454915",5054000,2700000,-2354000,-46.6
"WΞP Timomagbier","636222417",4944500,2980000,-1964500,-39.7
"CeeK4y","434842414",4899000,5850000,951000,19.4
"Fossi PøtG","922391954",4898000,4800000,-98000,-2
"VDL Doni030","918226438",4860500,4800000,-60500,-1.2
"Ordo Skirata","695593321",4661500,4350000,-311500,-6.7
"windalf","986173352",4607500,1305000,-3302500,-71.7
"Kopfgeldjäger Orlando","855444999",4413000,3915000,-498000,-11.3
"DonGavon VonMothma","283839472",3894500,1215000,-2679500,-68.8
"bizonkata","242337786",3857500,2885000,-972500,-25.2
"deathshot","653622119",3849000,3300000,-549000,-14.3
"Maddin Papa der Nacht","397984459",3661000,3615000,-46000,-1.3
"MINI Raph","483833154",3573500,3900000,326500,9.1
"W0Ʀ ObiWanX88X","595758484",3476500,2400000,-1076500,-31
"BillyCoenCS","782748956",3465500,2950000,-515500,-14.9
"Vaexqua","447681823",3410500,2992500,-418000,-12.3
"Kaytee Glopio","435978285",3253000,1422500,-1830500,-56.3
"gazzo","553723455",3220000,3000000,-220000,-6.8
"thenawi","218714477",2951500,1490000,-1461500,-49.5
"Gremlin","447344923",2550000,1800000,-750000,-29.4
"FraHu","645657654",2511000,3900000,1389000,55.3
"reniarku","216769754",2390000,4050000,1660000,69.5
"DribbelD","442864126",2373000,2125000,-248000,-10.5
"BΛ ElTimme","869365185",2298500,1187500,-1111000,-48.3
"TuMirNix","356282657",2276000,1912500,-363500,-16
"FirstClaas","881775995",2246000,1670000,-576000,-25.6
"Nema Ghyron","882283397",1314000,1162500,-151500,-11.5
