"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"reniarku","216769754",5786000,7200000,1414000,24.4
"CeeK4y","434842414",5444500,6037500,593000,10.9
"FraHu","645657654",3796000,4050000,254000,6.7
"Maddin Papa der Nacht","397984459",3666500,3855000,188500,5.1
"Vaexqua","447681823",3479500,3652500,173000,5
"VDL Doni030","918226438",4927000,4950000,23000,0.5
"Duckado","992822478",14700000,14700000,0,0
"McBluti","289447573",14700000,14700000,0,0
"Nema Ghyron","882283397",1314000,1290000,-24000,-1.8
"DribbelD","442864126",2545500,2400000,-145500,-5.7
"MINI Raph","483833154",4952000,4800000,-152000,-3.1
"Tylr","528339514",13800000,13590000,-210000,-1.5
"Mad Mike","537881411",9552000,9300000,-252000,-2.6
"TuMirNix","356282657",2476000,2045000,-431000,-17.4
"Spacekenny","758475213",7117500,6660000,-457500,-6.4
"ARC5555","928882641",9604500,9090000,-514500,-5.4
"gazzo","553723455",3831500,3300000,-531500,-13.9
"deathshot","653622119",3849000,3300000,-549000,-14.3
"OnkelBoe","897638799",6375000,5670000,-705000,-11.1
"Fossi PøtG","922391954",5567000,4840000,-727000,-13.1
"Paddle","768392149",10741500,9997500,-744000,-6.9
"Gremlin","447344923",4064000,3300000,-764000,-18.8
"Gonzo","839923255",5327000,4500000,-827000,-15.5
"BΛ ElTimme","869365185",2462500,1500000,-962500,-39.1
"Tobi WanKenobi","964836267",7286500,6292500,-994000,-13.6
"Skettman","923923221",7083000,6075000,-1008000,-14.2
"Xelogon","998926812",13112500,12000000,-1112500,-8.5
"bizonkata","242337786",4063500,2940000,-1123500,-27.6
"Hippikilla","426986133",6043500,4905000,-1138500,-18.8
"Ordo Skirata","695593321",5488500,4310000,-1178500,-21.5
"Berto","719754858",7398500,6202500,-1196000,-16.2
"Valcorp","359628635",6280500,4995000,-1285500,-20.5
"BillyCoenCS","782748956",3860000,2565000,-1295000,-33.5
"Kaytee Glopio","435978285",3925500,2460000,-1465500,-37.3
"Scargo","671154332",6741500,5100000,-1641500,-24.3
"Optimus Prime","424139695",5616000,3945000,-1671000,-29.8
"Breuchen","517819446",13684000,11895000,-1789000,-13.1
"FirstClaas","881775995",2443000,332500,-2110500,-86.4
"Oberon Calad","828255534",5898500,3150000,-2748500,-46.6
"DonGavon VonMothma","283839472",4401000,1620000,-2781000,-63.2
"Imperator Luna ツ","917814484",8245000,5400000,-2845000,-34.5
"W0Ʀ ObiWanX88X","595758484",5359000,2460000,-2899000,-54.1
"thenawi","218714477",4522500,1392500,-3130000,-69.2
"AZRΛEL","325454915",7098000,3845000,-3253000,-45.8
"Racer","961793165",7202500,3550000,-3652500,-50.7
"WΞP Timomagbier","636222417",7582000,3770000,-3812000,-50.3
"Darman RC22","195783379",15095000,11250000,-3845000,-25.5
"Sahu","596923326",9756500,5850000,-3906500,-40
"Kopfgeldjäger Orlando","855444999",6813500,2905000,-3908500,-57.4
"windalf","986173352",10626500,3236250,-7390250,-69.5
